Year,Name,Population
1975,Louvre,"22,793"
1982,Louvre,"18,509"
1990,Louvre,"18,360"
1999,Louvre,"16,888"
2007,Louvre,"17,915"
2015,Louvre,"16,545"
2021,Louvre,"15,919"
1975,Bourse,"26,328"
1982,Bourse,"21,203"
1990,Bourse,"20,738"
1999,Bourse,"19,585"
2007,Bourse,"21,745"
2015,Bourse,"20,796"
2021,Bourse,"21,119"
1975,Temple,"41,706"
1982,Temple,"36,094"
1990,Temple,"35,102"
1999,Temple,"34,248"
2007,Temple,"34,576"
2015,Temple,"35,049"
2021,Temple,"32,793"
1975,Hôtel-de-Ville,"40,466"
1982,Hôtel-de-Ville,"33,990"
1990,Hôtel-de-Ville,"32,226"
1999,Hôtel-de-Ville,"30,675"
2007,Hôtel-de-Ville,"28,572"
2015,Hôtel-de-Ville,"27,146"
2021,Hôtel-de-Ville,"28,324"
1975,Panthéon,"67,668"
1982,Panthéon,"62,173"
1990,Panthéon,"61,222"
1999,Panthéon,"58,849"
2007,Panthéon,"62,664"
2015,Panthéon,"59,333"
2021,Panthéon,"56,841"
1975,Luxembourg,"56,331"
1982,Luxembourg,"48,905"
1990,Luxembourg,"47,891"
1999,Luxembourg,"44,919"
2007,Luxembourg,"45,332"
2015,Luxembourg,"42,428"
2021,Luxembourg,"40,209"
1975,Palais-Bourbon,"74,250"
1982,Palais-Bourbon,"67,461"
1990,Palais-Bourbon,"62,939"
1999,Palais-Bourbon,"56,985"
2007,Palais-Bourbon,"57,410"
2015,Palais-Bourbon,"54,133"
2021,Palais-Bourbon,"47,947"
1975,Élysée,"52,999"
1982,Élysée,"46,403"
1990,Élysée,"40,814"
1999,Élysée,"39,314"
2007,Élysée,"39,165"
2015,Élysée,"36,694"
2021,Élysée,"35,123"
1975,Opéra,"70,270"
1982,Opéra,"64,134"
1990,Opéra,"58,019"
1999,Opéra,"55,838"
2007,Opéra,"58,632"
2015,Opéra,"59,408"
2021,Opéra,"58,951"
1975,Enclos-St-Laurent,"94,046"
1982,Enclos-St-Laurent,"86,970"
1990,Enclos-St-Laurent,"90,083"
1999,Enclos-St-Laurent,"89,612"
2007,Enclos-St-Laurent,"93,373"
2015,Enclos-St-Laurent,"91,770"
2021,Enclos-St-Laurent,"83,543"
1975,Popincourt,"159,317"
1982,Popincourt,"146,931"
1990,Popincourt,"154,165"
1999,Popincourt,"149,102"
2007,Popincourt,"151,421"
2015,Popincourt,"149,834"
2021,Popincourt,"142,583"
1975,Reuilly,"140,900"
1982,Reuilly,"138,015"
1990,Reuilly,"130,257"
1999,Reuilly,"136,591"
2007,Reuilly,"142,425"
2015,Reuilly,"142,340"
2021,Reuilly,"140,954"
1975,Gobelins,"163,313"
1982,Gobelins,"170,818"
1990,Gobelins,"171,098"
1999,Gobelins,"171,533"
2007,Gobelins,"179,213"
2015,Gobelins,"183,216"
2021,Gobelins,"178,350"
1975,Observatoire,"149,137"
1982,Observatoire,"138,596"
1990,Observatoire,"136,574"
1999,Observatoire,"132,844"
2007,Observatoire,"134,382"
2015,Observatoire,"139,992"
2021,Observatoire,"136,368"
1975,Vaugirard,"231,301"
1982,Vaugirard,"225,596"
1990,Vaugirard,"223,940"
1999,Vaugirard,"225,362"
2007,Vaugirard,"232,247"
2015,Vaugirard,"234,994"
2021,Vaugirard,"227,746"
1975,Passy,"193,590"
1982,Passy,"179,446"
1990,Passy,"169,863"
1999,Passy,"161,773"
2007,Passy,"159,706"
2015,Passy,"165,487"
2021,Passy,"162,061"
1975,Batignolles-Monceau,"186,293"
1982,Batignolles-Monceau,"169,513"
1990,Batignolles-Monceau,"161,935"
1999,Batignolles-Monceau,"160,860"
2007,Batignolles-Monceau,"164,673"
2015,Batignolles-Monceau,"168,533"
2021,Batignolles-Monceau,"164,413"
1975,Butte-Montmartre,"208,970"
1982,Butte-Montmartre,"186,866"
1990,Butte-Montmartre,"187,657"
1999,Butte-Montmartre,"184,586"
2007,Butte-Montmartre,"191,523"
2015,Butte-Montmartre,"197,580"
2021,Butte-Montmartre,"188,446"
1975,Buttes-Chaumont,"144,357"
1982,Buttes-Chaumont,"162,649"
1990,Buttes-Chaumont,"165,062"
1999,Buttes-Chaumont,"172,730"
2007,Buttes-Chaumont,"184,038"
2015,Buttes-Chaumont,"185,654"
2021,Buttes-Chaumont,"181,616"
1975,Ménilmontant,"175,795"
1982,Ménilmontant,"171,971"
1990,Ménilmontant,"184,478"
1999,Ménilmontant,"182,952"
2007,Ménilmontant,"194,018"
2015,Ménilmontant,"195,556"
2021,Ménilmontant,"189,805"
