Year,Name,Population
1975,Louvre,22793
1982,Louvre,18509
1990,Louvre,18360
1999,Louvre,16888
2007,Louvre,17915
2015,Louvre,16545
2021,Louvre,15919
1975,Bourse,26328
1982,Bourse,21203
1990,Bourse,20738
1999,Bourse,19585
2007,Bourse,21745
2015,Bourse,20796
2021,Bourse,21119
1975,Temple,41706
1982,Temple,36094
1990,Temple,35102
1999,Temple,34248
2007,Temple,34576
2015,Temple,35049
2021,Temple,32793
1975,Hôtel-de-Ville,40466
1982,Hôtel-de-Ville,33990
1990,Hôtel-de-Ville,32226
1999,Hôtel-de-Ville,30675
2007,Hôtel-de-Ville,28572
2015,Hôtel-de-Ville,27146
2021,Hôtel-de-Ville,28324
1975,Panthéon,67668
1982,Panthéon,62173
1990,Panthéon,61222
1999,Panthéon,58849
2007,Panthéon,62664
2015,Panthéon,59333
2021,Panthéon,56841
1975,Luxembourg,56331
1982,Luxembourg,48905
1990,Luxembourg,47891
1999,Luxembourg,44919
2007,Luxembourg,45332
2015,Luxembourg,42428
2021,Luxembourg,40209
1975,Palais-Bourbon,74250
1982,Palais-Bourbon,67461
1990,Palais-Bourbon,62939
1999,Palais-Bourbon,56985
2007,Palais-Bourbon,57410
2015,Palais-Bourbon,54133
2021,Palais-Bourbon,47947
1975,Élysée,52999
1982,Élysée,46403
1990,Élysée,40814
1999,Élysée,39314
2007,Élysée,39165
2015,Élysée,36694
2021,Élysée,35123
1975,Opéra,70270
1982,Opéra,64134
1990,Opéra,58019
1999,Opéra,55838
2007,Opéra,58632
2015,Opéra,59408
2021,Opéra,58951
1975,Enclos-St-Laurent,94046
1982,Enclos-St-Laurent,86970
1990,Enclos-St-Laurent,90083
1999,Enclos-St-Laurent,89612
2007,Enclos-St-Laurent,93373
2015,Enclos-St-Laurent,91770
2021,Enclos-St-Laurent,83543
1975,Popincourt,159317
1982,Popincourt,146931
1990,Popincourt,154165
1999,Popincourt,149102
2007,Popincourt,151421
2015,Popincourt,149834
2021,Popincourt,142583
1975,Reuilly,140900
1982,Reuilly,138015
1990,Reuilly,130257
1999,Reuilly,136591
2007,Reuilly,142425
2015,Reuilly,142340
2021,Reuilly,140954
1975,Gobelins,163313
1982,Gobelins,170818
1990,Gobelins,171098
1999,Gobelins,171533
2007,Gobelins,179213
2015,Gobelins,183216
2021,Gobelins,178350
1975,Observatoire,149137
1982,Observatoire,138596
1990,Observatoire,136574
1999,Observatoire,132844
2007,Observatoire,134382
2015,Observatoire,139992
2021,Observatoire,136368
1975,Vaugirard,231301
1982,Vaugirard,225596
1990,Vaugirard,223940
1999,Vaugirard,225362
2007,Vaugirard,232247
2015,Vaugirard,234994
2021,Vaugirard,227746
1975,Passy,193590
1982,Passy,179446
1990,Passy,169863
1999,Passy,161773
2007,Passy,159706
2015,Passy,165487
2021,Passy,162061
1975,Batignolles-Monceau,186293
1982,Batignolles-Monceau,169513
1990,Batignolles-Monceau,161935
1999,Batignolles-Monceau,160860
2007,Batignolles-Monceau,164673
2015,Batignolles-Monceau,168533
2021,Batignolles-Monceau,164413
1975,Butte-Montmartre,208970
1982,Butte-Montmartre,186866
1990,Butte-Montmartre,187657
1999,Butte-Montmartre,184586
2007,Butte-Montmartre,191523
2015,Butte-Montmartre,197580
2021,Butte-Montmartre,188446
1975,Buttes-Chaumont,144357
1982,Buttes-Chaumont,162649
1990,Buttes-Chaumont,165062
1999,Buttes-Chaumont,172730
2007,Buttes-Chaumont,184038
2015,Buttes-Chaumont,185654
2021,Buttes-Chaumont,181616
1975,Ménilmontant,175795
1982,Ménilmontant,171971
1990,Ménilmontant,184478
1999,Ménilmontant,182952
2007,Ménilmontant,194018
2015,Ménilmontant,195556
2021,Ménilmontant,189805
